utt_id,label,total_duration_sec,speech_duration_sec,pause_count,avg_pause_duration_sec,hesitation_ratio,pitch_mean_hz,pitch_std_hz,pitch_range_hz,energy_mean,energy_std,jitter,shimmer,hnr,syllable_rate_per_min,estimated_syllable_count,fluency_score_raw,prosodic_score_raw
000010011,High,2.58,1.408,0,0.0,0.45426356589147293,250.3687729810229,90.285688197609,286.67224069349936,0.068553626537323,0.07866251468658447,0.01969729177210106,0.06191936168633166,15.414276862213962,127.84,3,9.0,9.0
000010035,High,3.43,2.336,0,0.0,0.31895043731778433,238.85886160023855,72.8892721725789,258.1099221355409,0.06331270188093185,0.06351931393146515,0.01020412242904867,0.06972045674251251,15.815398012291986,128.42,5,9.0,9.0
000010053,High,3.35,2.208,0,0.0,0.34089552238805965,255.99748692372668,77.14755129003262,285.2333488466421,0.06067698821425438,0.0581669807434082,0.01702020325420053,0.061951796998597514,14.021387905813706,108.7,4,10.0,10.0
000010063,High,3.319,2.112,0,0.0,0.36366375414281404,262.63696671980495,95.14202751894717,301.4080457997553,0.050431590527296066,0.04978417232632637,0.01195789162899054,0.06278178490047813,12.924255183737374,113.64,4,9.0,9.0
000010069,High,3.01,1.888,0,0.0,0.37275747508305646,247.581477888181,86.32546122523392,303.7635336545919,0.06554538011550903,0.07060804218053818,0.0191911838857238,0.08867322215870042,10.7946974996876,158.9,5,9.0,10.0
000010075,High,2.59,1.632,1,0.416,0.3698841698841699,226.6933276968581,89.92803245658826,289.0609498076139,0.06109129264950752,0.06306992471218109,0.02097685645291513,0.06907835756249538,9.465802990345884,110.29,3,9.0,9.0
000010089,High,3.08,2.176,0,0.0,0.2935064935064935,246.47362193235173,67.71737732208801,269.010046887002,0.07860326021909714,0.06875656545162201,0.01807325324827849,0.09146581347828235,13.728343043444202,165.44,6,9.0,9.0
000010095,High,2.97,2.176,0,0.0,0.2673400673400673,259.2652798563488,89.76773024246724,307.7672551201807,0.0736449658870697,0.07189033925533295,0.022169263648682404,0.0979071244608262,11.2254895014591,137.87,5,9.0,9.0
000010106,High,2.13,1.28,0,0.0,0.3990610328638497,254.0703387852279,84.59015803985238,293.82260454151583,0.07169504463672638,0.07271315902471542,0.01711546950701641,0.09414678532622209,12.409756108970827,140.62,3,9.0,8.0
000010113,High,3.002,2.08,0,0.0,0.3071285809460359,249.6442078711274,94.22713446998173,307.22584804808605,0.04870106279850006,0.0414547473192215,0.0181333666742515,0.08667193210889855,14.930992389739655,144.23,5,9.0,8.0
000010115,High,3.0,1.952,0,0.0,0.34933333333333333,262.1790765989576,66.1107260937018,258.8752443201824,0.08184497058391571,0.08277583122253418,0.017136029784727225,0.0824280928259746,14.536540569150302,184.43,6,9.0,9.0
000010121,High,3.31,2.208,0,0.0,0.3329305135951661,247.56937756926624,81.46290408139,304.5334258694961,0.05764525383710861,0.061644259840250015,0.018514157527922688,0.08889159955610572,12.70190444626542,163.04,6,9.0,9.0
000010122,High,3.42,2.496,0,0.0,0.27017543859649124,262.41807289192354,90.30058006343326,312.5593609509982,0.0875726044178009,0.0755641758441925,0.015003675050963452,0.06149128818829911,14.970361687305525,144.23,6,9.0,9.0
000010133,Medium,2.88,1.824,0,0.0,0.36666666666666664,277.2466171710432,90.59517805992954,292.4720172800258,0.06669866293668747,0.07033153623342514,0.016743844897211237,0.08037719731351915,12.88065752452061,164.47,5,8.0,8.0
000010135,High,3.222,2.048,0,0.0,0.3643699565487275,262.9472340602264,80.16573418556465,275.6832507015454,0.06161978840827942,0.06444628536701202,0.011914782469266366,0.07858367451821724,13.385898941258198,146.48,5,9.0,9.0
000010140,High,3.325,2.176,0,0.0,0.3455639097744361,246.85298088243852,81.28250121502838,277.9690426407115,0.130267933011055,0.11423563212156296,0.013949894878610033,0.060831487752569934,16.227347985001202,137.87,5,9.0,9.0
000010145,High,3.49,2.144,0,0.0,0.3856733524355301,246.4743206508846,90.28556074665352,265.7168689255282,0.07208860665559769,0.07558011263608932,0.012248451554125968,0.05635361972288211,18.92133188050203,83.96,3,9.0,9.0
000010149,High,3.28,2.208,0,0.0,0.32682926829268283,275.79448214000956,77.33854957413817,287.2020205450822,0.07636958360671997,0.07987865805625916,0.015116655810115022,0.09411210217845592,15.706623714425593,135.87,5,9.0,8.0
000010168,High,1.67,0.608,0,0.0,0.6359281437125748,298.0054010364994,57.66180821597171,171.32990364525875,0.04574327915906906,0.06934922933578491,0.005118785590762407,0.04974728535379353,17.23615934931171,98.68,1,10.0,10.0
000010173,High,2.059,1.024,1,0.288,0.5026711996114619,226.54768593099388,89.21008687398995,289.2211265131054,0.05151834711432457,0.07960883527994156,0.023171930916424933,0.05262962937037688,9.405993508176346,58.59,1,10.0,9.0
000050003,Low,4.343,3.168,1,0.256,0.27055031084503794,210.27798319704542,65.99839872122263,221.00651771609552,0.07561683654785156,0.06380830705165863,0.01430804492317384,0.06558657877951266,11.868876732351481,151.52,8,6.0,7.0
000050010,Medium,3.047,2.304,0,0.0,0.24384640630128004,197.31084088715417,75.20244460703121,195.0942315240806,0.07033378630876541,0.06611368060112,0.01499393896513084,0.0798732837796675,12.838574227822708,130.21,5,7.0,7.0
000050024,Low,3.839,2.88,0,0.0,0.2498046366241209,213.07228375297595,62.5947680488874,194.35894084454722,0.058950647711753845,0.05104609206318855,0.00789098826425962,0.04451607817195711,16.957428417599314,104.17,5,6.0,6.0
000050028,Medium,2.723,2.048,0,0.0,0.24788835842820414,228.94921589949664,77.24012730670046,293.3379614641425,0.027218397706747055,0.026687683537602425,0.013875841681987473,0.05909814174437275,11.863097857189105,117.19,4,8.0,8.0
000050038,Medium,2.877,2.56,0,0.0,0.11018421967327068,210.00149376114103,75.30546482354059,270.454906785092,0.016421539708971977,0.014108804985880852,0.014754393206930422,0.06934051483191013,12.069694061572203,93.75,4,8.0,7.0
000050040,Medium,2.762,2.624,0,0.0,0.04996379435191886,214.25133587994512,68.29693418134163,219.11534590389772,0.022999176755547523,0.016527632251381874,0.011966507684986211,0.08068922317398484,10.459226135924157,91.46,4,8.0,7.0
000050047,Medium,2.254,1.952,0,0.0,0.1339840283939663,220.16884334721314,94.65796609666727,291.92179756575376,0.030496180057525635,0.027066389098763466,0.015742708797325446,0.06706995282133733,7.7056431669196765,92.21,3,8.0,7.0
000050049,High,2.129,1.536,0,0.0,0.2785345232503523,207.61228469401382,81.36662511072153,268.13141788973974,0.026885896921157837,0.03092457726597786,0.012815281372961652,0.056156006997488336,10.919820232444227,117.19,3,9.0,8.0
000050055,Medium,2.238,1.758,0,0.0,0.21447721179624665,213.6051499389215,81.78133229550112,246.1671385986483,0.030841419473290443,0.02865603007376194,0.011971053527796292,0.04441201197915547,13.230248885610084,68.26,2,8.0,8.0
000050078,Low,3.87,3.294,0,0.0,0.1488372093023256,226.96601327099015,59.466294428153866,248.21643496170677,0.01591913402080536,0.01094641350209713,0.009390210020605564,0.07167284344953016,10.445843425287842,145.72,8,7.0,6.0
